Applies to,Number,Name,Reference
7.01,2,Max-Message-Size,[RFC8323]
7.01,4,Block-Wise-Transfer,[RFC8323]
7.01,6,Extended-Token-Length,[RFC-ietf-core-stateless-08]
"7.02, 7.03",2,Custody,[RFC8323]
7.04,2,Alternative-Address,[RFC8323]
7.04,4,Hold-Off,[RFC8323]
7.05,2,Bad-CSM-Option,[RFC8323]
7.xx (all),9,OSCORE,[RFC8613]
