TLV Code Point,Description,Reference
1153,IGP Route Tag,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.3.2]"
1154,IGP Extended Route Tag,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.3.3]"
1155,Prefix Metric,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.3.4]"
1156,OSPF Forwarding Address,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.3.5]"
1157,Opaque Prefix Attribute,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.3.6]"
1158,Prefix-SID,"[RFC9085, Section 2.3.1]"
1159,Range,"[RFC9085, Section 2.3.5]"
1160,IS-IS Flood Reflection,[draft-ietf-idr-bgp-ls-isis-flood-reflection-02]
1161,SID/Label,"[RFC9085, Section 2.1.1]"
1162,SRv6 Locator,[RFC-ietf-idr-bgpls-srv6-ext-14]
1163-1169,Unassigned,
1170,Prefix Attributes Flags,"[RFC9085, Section 2.3.2]"
1171,Source Router Identifier,"[RFC9085, Section 2.3.3]"
1172,L2 Bundle Member Attributes,"[RFC9085, Section 2.2.3]"
1173,Extended Administrative Group,[RFC9104]
1174,Source OSPF Router-ID,"[RFC9085, Section 2.3.4]"
1175-1179,Unassigned,
1180,SPF Capability,[draft-ietf-lsvr-bgp-spf-20]
1181,Sequence Number,[draft-ietf-lsvr-bgp-spf-20]
1182,IPv4 Link Prefix Length,[draft-ietf-lsvr-bgp-spf-20]
1183,IPv6 Link Prefix Length,[draft-ietf-lsvr-bgp-spf-20]
1184,SPF Status,[draft-ietf-lsvr-bgp-spf-20]
1185-1199,Unassigned,
1200,MPLS-TE Policy State TLV,[draft-ietf-idr-te-lsp-distribution-17]
1201,SR BSID TLV,[draft-ietf-idr-te-lsp-distribution-17]
1202,SR CP State TLV,[draft-ietf-idr-te-lsp-distribution-17]
1203,SR CP Name TLV,[draft-ietf-idr-te-lsp-distribution-17]
1204,SR CP Constraints TLV,[draft-ietf-idr-te-lsp-distribution-17]
1205,SR Segment List TLV,[draft-ietf-idr-te-lsp-distribution-17]
1206,SR Segment sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1207,SR Segment List Metric sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1208,SR Affinity Constraint sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1209,SR SRLG Constraint sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1210,SR Bandwidth Constraint sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1211,SR Disjoint Group Constraint sub-TLV,[draft-ietf-idr-te-lsp-distribution-17]
1212,SRv6 BSID TLV,[draft-ietf-idr-te-lsp-distribution-17]
1213,SR Policy Name TLV,[draft-ietf-idr-te-lsp-distribution-17]
1214,SR Bidirectional Group Constraint,[draft-ietf-idr-bgp-ls-sr-policy-02]
1215,SR Metric Constraint,[draft-ietf-idr-bgp-ls-sr-policy-02]
1216,SR Segment List Bandwidth,[draft-ietf-idr-bgp-ls-sr-policy-02]
1217,SR Segment List Identifier,[draft-ietf-idr-bgp-ls-sr-policy-02]
1218-1249,Unassigned,
1250,SRv6 Endpoint Behavior,[RFC-ietf-idr-bgpls-srv6-ext-14]
1251,SRv6 BGP Peer Node SID,[RFC-ietf-idr-bgpls-srv6-ext-14]
1252,SRv6 SID Structure,[RFC-ietf-idr-bgpls-srv6-ext-14]
1253-64999,Unassigned,
65000-65535,Private Use,[RFC-ietf-idr-rfc7752bis-16]
