Value,Description,Reference
0,Reserved,[RFC-warden-appsawg-vnc-scheme-10]
1,Standard TCP,[RFC-warden-appsawg-vnc-scheme-10]
2-22,Unassigned,
23,Secure Tunnel,[RFC-warden-appsawg-vnc-scheme-10]
24,Integrated SSH,[RFC-warden-appsawg-vnc-scheme-10]
25-2147483647,Unassigned,
