Token,Data About,Reference
ProviderInfo,The Call,[RFC7852]
ServiceInfo,The Call,[RFC7852]
DeviceInfo,The Call,[RFC7852]
SubscriberInfo,The Call,[RFC7852]
Comment,The Call,[RFC7852]
