Name,Source,URL,Reference
NENA,National Emergency Number Association,[http://www.nena.org],[RFC7852]
EENA,European Emergency Number Association,[http://www.eena.org],[RFC7852]
domain,(The ID is a fully qualified domain name),(not applicable),[RFC7852]
