Token,Description,Reference
MEID,Mobile Equipment Identifier (CDMA),[RFC-ietf-ecrit-additional-data-37]
ESN,Electronic Serial Number (GSM),[RFC-ietf-ecrit-additional-data-37]
MAC,Media Access Control Address (IEEE),[RFC-ietf-ecrit-additional-data-37]
WiMAX,Device Certificate Unique ID,[RFC-ietf-ecrit-additional-data-37]
IMEI,International Mobile Equipment ID (GSM),[RFC-ietf-ecrit-additional-data-37]
IMSI,International Mobile Subscriber ID (GSM),[RFC-ietf-ecrit-additional-data-37]
UDI,Unique Device Identifier,[RFC-ietf-ecrit-additional-data-37]
RFID,Radio Frequency Identification,[RFC-ietf-ecrit-additional-data-37]
SN,Manufacturer Serial Number,[RFC-ietf-ecrit-additional-data-37]
