Value,Reference
uni,[RFC-ietf-clue-data-model-schema-17]
shotgun,[RFC-ietf-clue-data-model-schema-17]
omni,[RFC-ietf-clue-data-model-schema-17]
figure8,[RFC-ietf-clue-data-model-schema-17]
cardioid,[RFC-ietf-clue-data-model-schema-17]
hyper-cardioid,[RFC-ietf-clue-data-model-schema-17]
