Value,Reference
presenter,[RFC-ietf-clue-data-model-schema-17]
timekeeper,[RFC-ietf-clue-data-model-schema-17]
attendee,[RFC-ietf-clue-data-model-schema-17]
minute taker,[RFC-ietf-clue-data-model-schema-17]
translator,[RFC-ietf-clue-data-model-schema-17]
chairman,[RFC-ietf-clue-data-model-schema-17]
vice-chairman,[RFC-ietf-clue-data-model-schema-17]
observer,[RFC-ietf-clue-data-model-schema-17]
