Bit Flag,Name,Reference,Date
0-46,Unassigned,,
47,"DCB (TEMPORARY - registered 2019-01-23, expires 2020-01-23.)",[draft-ietf-bess-mvpn-evpn-aggregation-label],2019-01-23
