Alg,Name,Reference,Date
0,Default DF Election,[RFC8584],2019-02-01
1,HRW Algorithm,[RFC8584],2019-02-01
2,Highest-Preference Algorithm,[RFC-ietf-bess-evpn-pref-df-13],2023-11-05
3,Lowest-Preference Algorithm,[RFC-ietf-bess-evpn-pref-df-13],2023-11-05
4-30,Unassigned,,
31,Reserved for Experimental Use,[RFC8584],2019-02-01
