Code Point,Use,Reference
0x00,Null,[RFC6328]
0x08,Q.933,[RFC2427]
0x80,IEEE SNAP,[RFC6328]
0x81,ISO CLNP (Connectionless Network Protocol),[RFC6328]
0x82,ISO ES-IS,[RFC6328]
0x83,IS-IS,[RFC1195]
0x8E,IPv6,[RFC8200]
0xB0,FRF.9,[RFC2427]
0xB1,FRF.12,[RFC2427]
0xC0,TRILL,[RFC6325]
0xC1,IEEE 802.1aq,[RFC6328]
0xC2-0xCB,Unassigned,[RFC6328]
0xCC,IPv4,[RFC791]
0xCD-0xCE,Unassigned,[RFC6328]
0xCF,PPP,[RFC1661]
