Basis,Description and/or Reference,Point of Contact,Cross Reference to RPC Netid Registry
FCFS,"System V Release 4 loopback transport uaddr format. Section 4.2.3.1 of 
        [RFC5665]",,0
FCFS,"Uaddr format for NC_NOPROTO. Section 4.2.3.2 of 
        [RFC5665]",,1
STDS,"Uaddr format for IPv4 transports. Section 4.2.3.3 of 
        [RFC5665]",[IESG],2
STDS,"Uaddr format for IPv6 transports. Section 4.2.3.4 of 
        [RFC5665]",[IESG],3
