Attribute,Reference
version,[RFC-ietf-anima-bootstrapping-keyinfra-44]
Status,[RFC-ietf-anima-bootstrapping-keyinfra-44]
Reason,[RFC-ietf-anima-bootstrapping-keyinfra-44]
reason-context,[RFC-ietf-anima-bootstrapping-keyinfra-44]
