URI,Description,Reference
requestvoucher,"pledge to registrar, and from registrar to MASA",[RFC-ietf-anima-bootstrapping-keyinfra-44]
voucher_status,pledge to registrar,[RFC-ietf-anima-bootstrapping-keyinfra-44]
requestauditlog,registrar to MASA,[RFC-ietf-anima-bootstrapping-keyinfra-44]
enrollstatus,pledge to registrar,[RFC-ietf-anima-bootstrapping-keyinfra-44]
