Value,Description,Reference
none,"No effect to the organization's ability to provide all
        services to all users.",[RFC7970]
low,"Minimal effect as the organization can still provide all
        critical services to all users but has lost efficiency.",[RFC7970]
medium,"The organization has lost the ability to provide a
        critical service to a subset of system users.",[RFC7970]
high,"The organization is no longer able to provide some
        critical services to any users.",[RFC7970]
unknown,The impact is not known.,[RFC7970]
ext-value,"A value used to indicate that this attribute is
        extended and the actual value is provided using the
        corresponding ext-* attribute.  See Section 5.1.1 of [RFC7970].",[RFC7970]
