Token Endpoint Authentication Method Name,Change Controller,Reference
none,IESG,[RFC7591]
client_secret_post,IESG,[RFC7591]
client_secret_basic,IESG,[RFC7591]
client_secret_jwt,[OpenID_Foundation_Artifact_Binding_Working_Group],[OpenID Connect Core 1.0]
private_key_jwt,[OpenID_Foundation_Artifact_Binding_Working_Group],[OpenID Connect Core 1.0]
