Value,Suite,Definition
0,Reserved,"[RFC8061, Section 6]"
1,LISP_2048MODP_AES128_CBC_SHA256,"[RFC8061, Section 6]"
2,LISP_EC25519_AES128_CBC_SHA256,"[RFC8061, Section 6]"
3,LISP_2048MODP_AES128_GCM,"[RFC8061, Section 6]"
4,LISP_3072MODP_AES128_GCM,"[RFC8061, Section 6]"
5,LISP_256_EC25519_AES128_GCM,"[RFC8061, Section 6]"
6,LISP_256_EC25519_CHACHA20_POLY1305,"[RFC8061, Section 6]"
7-255,Unassigned,
