Value,Description,Reference,Change Controller (First Come First Served Range)
0-1023,Unassigned,,
1024,Map-Subscribe/Map-Subscribe-Ack,[draft-boucadair-lisp-subscribe],[Mohamed_Boucadair]
1025,Map-Bulk-Request/Map-Bulk-Reply,[draft-boucadair-lisp-bulk],[Mohamed_Boucadair]
1026,Map-Solicit-Request/Map-Solicit-Reply,[draft-boucadair-lisp-itr-failure],[Mohamed_Boucadair]
1027-4095,Unassigned,,
