Code,Name,Reference
0,Reserved,
1,QUERY_BY_ADDRESS,[RFC5007]
2,QUERY_BY_CLIENTID,[RFC5007]
3,QUERY_BY_RELAY_ID,[RFC5460]
4,QUERY_BY_LINK_ADDRESS,[RFC5460]
5,QUERY_BY_REMOTE_ID,[RFC5460]
6-255,Unassigned,
