Bit Number,Capability Name,Reference
0,OSPF graceful restart capable,[RFC3623]
1,OSPF graceful restart helper,[RFC3623]
2,OSPF Stub Router support,[RFC3137]
3,OSPF Traffic Engineering support,[RFC3630]
4,OSPF point-to-point over LAN,[RFC5309]
5,OSPF Experimental TE,[RFC4973]
6,Two-Part Metric support,[RFC-ietf-ospf-two-part-metric-10]
7-31,Unassigned,
