Name,Description,Reference,Change Controller
send-data,See Section 9.1.3.1 of [RFC8147],[RFC8147],IESG
msg-static,See Section 9.1 of [RFC8148],[RFC8148],IESG
msg-dynamic,See Section 9.1 of [RFC8148],[RFC8148],IESG
honk,See Section 9.1 of [RFC8148],[RFC8148],IESG
lamp,See Section 9.1 of [RFC8148],[RFC8148],IESG
enable-camera,See Section 9.1 of [RFC8148],[RFC8148],IESG
door-lock,See Section 9.1 of [RFC8148],[RFC8148],IESG
