Bit Position,Meaning,Reference
0,Bundle Accepted,[RFC6693]
1,Bundle is a Fragment,[RFC6693]
2,Bundle Payload Length Included in TLV,[RFC6693]
3-6,Unassigned,
7,PRoPHET ACK,[RFC6693]
