Value,Result Value,Reference
0x00,Reserved,[RFC6693]
0x01,NoSuccessAck,[RFC6693]
0x02,AckAll,[RFC6693]
0x03,Success,[RFC6693]
0x04,Failure,[RFC6693]
0x05,ReturnReceipt,[RFC6693]
0x06-0x7F,Unassigned,
0x80-0xFF,Reserved for Private/Experimental Use,[RFC6693]
