Value,Description,Reference
0,Reserved,
1,AT_RAND,[RFC4187][RFC4186]
2,AT_AUTN,[RFC4187][RFC4186]
3,AT_RES,[RFC4187][RFC4186]
4,AT_AUTS,[RFC4187][RFC4186]
5,Unassigned,
6,AT_PADDING,[RFC4187][RFC4186]
7,AT_NONCE_MT,[RFC4187][RFC4186]
8-9,Unassigned,
10,AT_PERMANENT_ID_REQ,[RFC4187][RFC4186]
11,AT_MAC,[RFC4187][RFC4186]
12,AT_NOTIFICATION,[RFC4187][RFC4186]
13,AT_ANY_ID_REQ,[RFC4187][RFC4186]
14,AT_IDENTITY,[RFC4187][RFC4186]
15,AT_VERSION_LIST,[RFC4187][RFC4186]
16,AT_SELECTED_VERSION,[RFC4187][RFC4186]
17,AT_FULLAUTH_ID_REQ,[RFC4187][RFC4186]
18,Unassigned,
19,AT_COUNTER,[RFC4187][RFC4186]
20,AT_COUNTER_TOO_SMALL,[RFC4187][RFC4186]
21,AT_NONCE_S,[RFC4187][RFC4186]
22,AT_CLIENT_ERROR_CODE,[RFC4187][RFC4186]
23,AT_KDF_INPUT,[RFC9048]
24,AT_KDF,[RFC9048]
25-127,Unassigned,
