Key Download Data Item Type,Value,Definition,Reference
GTPK,0,"This type MUST be implemented.   
This type identifies that the
data contains group traffic
protection key information.",[RFC4535]
Rekey - LKH,1,Optional,[RFC4535]
Reserved to IANA,2-192,,[RFC4535]
Private Use,193-255,,[RFC4535]
