Next_Payload_Type,Value,Reference
None,0,[RFC4535]
Policy Token,1,[RFC4535]
Key Download Packet,2,[RFC4535]
Rekey event,3,[RFC4535]
Identification,4,[RFC4535]
Reserved,5,[RFC4535]
Certificate,6,[RFC4535]
Reserved,7,[RFC4535]
Signature,8,[RFC4535]
Notification,9,[RFC4535]
Vendor ID,10,[RFC4535]
Key Creation,11,[RFC4535]
Nonce,12,[RFC4535]
Reserved to IANA,13-192,[RFC4535]
Private Use,193-255,[RFC4535]
