"ID",URI,Filename,Reference
iodef-rid-2.0,urn:ietf:params:xml:schema:iodef-rid-2.0,schema/iodef-rid-2.0.xsd,[RFC6545]
iodef-sci-1.0,urn:ietf:params:xml:schema:iodef-sci-1.0,schema/iodef-sci-1.0.xsd,[RFC7203][RFC Errata 4517]
ipfix (DEPRECATED),urn:ietf:params:xml:schema:ipfix-info (DEPRECATED),schema/ipfix.xsd,[RFC7012]
iris1,urn:ietf:params:xml:schema:iris1,schema/iris1.xsd,[RFC3981]
keyprov:dskpp,urn:ietf:params:xml:schema:keyprov:dskpp,schema/keyprov/dskpp.xsd,[RFC6063]
keyprov:pskc,urn:ietf:params:xml:schema:keyprov:pskc,schema/keyprov/pskc.xsd,[RFC6030]
keyrelay-1.0,urn:ietf:params:xml:schema:keyrelay-1.0,schema/keyrelay-1.0.xsd,[RFC8063]
kpml-request,urn:ietf:params:xml:schema:kpml-request,schema/kpml-request.xsd,[RFC4730]
kpml-response,urn:ietf:params:xml:schema:kpml-response,schema/kpml-response.xsd,[RFC4730]
launch-1.0,urn:ietf:params:xml:schema:launch-1.0,schema/launch-1.0.xsd,[RFC-ietf-regext-launchphase-07]
load-control,urn:ietf:params:xml:schema:load-control,schema/load-control.xsd,[RFC7200]
location-filter,urn:ietf:params:xml:schema:location-filter,schema/location-filter.xsd,[RFC6447]
location-type,urn:ietf:params:xml:schema:location-type,schema/location-type.xsd,[RFC4589]
lost-ext,urn:ietf:params:xml:schema:lost-ext,schema/lost-ext.rng,[RFC6451]
lost1,urn:ietf:params:xml:schema:lost1,schema/lost1.rng,[RFC5222]
lost1:slb,urn:ietf:params:xml:schema:lost1:slb,schema/lost1/slb.xsd,[RFC6197]
lostsync1,urn:ietf:params:xml:schema:lostsync1,schema/lostsync1.xsd,[RFC6739]
mark-1.0,urn:ietf:params:xml:schema:mark-1.0,schema/mark-1.0.xsd,[RFC7848]
