"ID",URI,Filename,Reference
EmergencyCallData:ProviderInfo,urn:ietf:params:xml:ns:EmergencyCallData:ProviderInfo,ns/EmergencyCallData/ProviderInfo.txt,[RFC7852]
EmergencyCallData:ServiceInfo,urn:ietf:params:xml:ns:EmergencyCallData:ServiceInfo,ns/EmergencyCallData/ServiceInfo.txt,[RFC7852]
EmergencyCallData:SubscriberInfo,urn:ietf:params:xml:ns:EmergencyCallData:SubscriberInfo,ns/EmergencyCallData/SubscriberInfo.txt,[RFC7852]
enum-token-1.0,urn:ietf:params:xml:ns:enum-token-1.0,ns/enum-token-1.0.txt,[RFC5105]
enum-tokendata-1.0,urn:ietf:params:xml:ns:enum-tokendata-1.0,ns/enum-tokendata-1.0.txt,[RFC5105]
epp-1.0,urn:ietf:params:xml:ns:epp-1.0,ns/epp-1.0.txt,[RFC5730]
epp:b-dn,urn:ietf:params:xml:ns:epp:b-dn,ns/epp/b-dn.txt,[RFC9095]
epp:fee-1.0,urn:ietf:params:xml:ns:epp:fee-1.0,ns/epp/fee-1.0.txt,[RFC8748]
epp:loginSec-1.0,urn:ietf:params:xml:ns:epp:loginSec-1.0,ns/epp/loginSec-1.0.txt,[RFC8807]
epp:maintenance-1.0,urn:ietf:params:xml:ns:epp:maintenance-1.0,ns/epp/maintenance-1.0.txt,[RFC9167]
epp:org-1.0,urn:ietf:params:xml:ns:epp:org-1.0,ns/epp/org-1.0.txt,[RFC8543]
epp:orgext-1.0,urn:ietf:params:xml:ns:epp:orgext-1.0,ns/epp/orgext-1.0.txt,[RFC8544]
epp:secure-authinfo-transfer-1.0,urn:ietf:params:xml:ns:epp:secure-authinfo-transfer-1.0,ns/epp/secure-authinfo-transfer-1.0.txt,[RFC9154]
epp:unhandled-namespaces-1.0,urn:ietf:params:xml:ns:epp:unhandled-namespaces-1.0,ns/epp/unhandled-namespaces-1.0.txt,[RFC9038]
eppcom-1.0,urn:ietf:params:xml:ns:eppcom-1.0,ns/eppcom-1.0.txt,[RFC5730]
ereg1,urn:ietf:params:xml:ns:ereg1,ns/ereg1.txt,[RFC4414]
ers,urn:ietf:params:xml:ns:ers,ns/ers.txt,[RFC6283]
fdt,urn:ietf:params:xml:ns:fdt,ns/fdt.txt,[RFC6726]
forces:lfbmodel:1.0,urn:ietf:params:xml:ns:forces:lfbmodel:1.0,ns/forces/lfbmodel/1.0.txt,[RFC5812]
forces:lfbmodel:1.1,urn:ietf:params:xml:ns:forces:lfbmodel:1.1,ns/forces/lfbmodel/1.1.txt,[RFC7408]
geolocation-policy,urn:ietf:params:xml:ns:geolocation-policy,ns/geolocation-policy.txt,[RFC6772]
geopriv:conf,urn:ietf:params:xml:ns:geopriv:conf,ns/geopriv/conf.txt,[RFC7459]
geopriv:held,urn:ietf:params:xml:ns:geopriv:held,ns/geopriv/held.txt,[RFC5985]
geopriv:held:flow,urn:ietf:params:xml:ns:geopriv:held:flow,ns/geopriv/held/flow.txt,[RFC6915]
geopriv:held:id,urn:ietf:params:xml:ns:geopriv:held:id,ns/geopriv/held/id.txt,[RFC6155]
geopriv:held:policy,urn:ietf:params:xml:ns:geopriv:held:policy,ns/geopriv/held/policy.txt,[RFC7199]
geopriv:held:ri,urn:ietf:params:xml:schema:geopriv:held:ri,ns/geopriv/held/ri.txt,[RFC7840]
geopriv:lm,urn:ietf:params:xml:ns:geopriv:lm,ns/geopriv/lm.txt,[RFC7105]
geopriv:lm:basetypes,urn:ietf:params:xml:ns:geopriv:lm:basetypes,ns/geopriv/lm/basetypes.txt,[RFC7105]
geopriv:lm:cellular,urn:ietf:params:xml:ns:geopriv:lm:cell,ns/geopriv/lm/cellular.txt,[RFC7105]
geopriv:lm:dhcp,urn:ietf:params:xml:ns:geopriv:lm:dhcp,ns/geopriv/lm/dhcp.txt,[RFC7105]
geopriv:lm:dsl,urn:ietf:params:xml:ns:geopriv:lm:dsl,ns/geopriv/lm/dsl.txt,[RFC7105]
geopriv:lm:gnss,urn:ietf:params:xml:ns:geopriv:lm:gnss,ns/geopriv/lm/gnss.txt,[RFC7105]
geopriv:lm:lldp,urn:ietf:params:xml:ns:geopriv:lm:lldp,ns/geopriv/lm/lldp.txt,[RFC7105]
geopriv:lm:wifi,urn:ietf:params:xml:ns:geopriv:lm:wifi,ns/geopriv/lm/wifi.txt,[RFC7105]
gruuinfo,urn:ietf:params:xml:ns:gruuinfo,ns/gruuinfo.txt,[RFC5628]
host-1.0,urn:ietf:params:xml:ns:host-1.0,ns/host-1.0.txt,[RFC5732]
ibe,urn:ietf:params:xml:ns:ibe,ns/ibe.txt,[RFC5408]
icalendar-2.0,urn:ietf:params:xml:ns:icalendar-2.0,ns/icalendar-2.0.txt,[RFC6321]
im-iscomposing,urn:ietf:params:xml:ns:im-iscomposing,ns/im-iscomposing.txt,[RFC3994]
imdn,urn:ietf:params:xml:ns:imdn,ns/imdn.txt,[RFC5438]
iodef-1.0,urn:ietf:params:xml:ns:iodef-1.0,ns/iodef-1.0.txt,[RFC5070]
iodef-2.0,urn:ietf:params:xml:ns:iodef-2.0,ns/iodef-2.0.txt,[RFC7970]
