Index,Capability Identifier,Reference
:defaults,urn:ietf:params:restconf:capability:defaults:1.0,[RFC8040]
:depth,urn:ietf:params:restconf:capability:depth:1.0,[RFC8040]
:fields,urn:ietf:params:restconf:capability:fields:1.0,[RFC8040]
:filter,urn:ietf:params:restconf:capability:filter:1.0,[RFC8040]
:replay,urn:ietf:params:restconf:capability:replay:1.0,[RFC8040]
:with-defaults,urn:ietf:params:restconf:capability:with-defaults:1.0,[RFC8040]
:yang-patch,urn:ietf:params:restconf:capability:yang-patch:1.0,[RFC8072]
:with-origin,urn:ietf:params:restconf:capability:with-origin:1.0,[RFC-ietf-netconf-nmda-restconf-05]
:with-operational-defaults,urn:ietf:params:restconf:capability:with-operational-defaults:1.0,[RFC-ietf-netconf-nmda-restconf-05]
