Bit,Value,Name,Description,Reference
First octet bit 7,First octet 0x01,Flooding,"If set, then the neighbor with that network address has been selected as flooding MPR",[RFC7188][RFC7722]
From first octet bit 6,From first octet 0x02,Routing,"If set, then the neighbor with that network address has been selected as routing MPR, either for the link metric types reported in an MPR_TYPES TLV (in the same order), or (if no MPR_TYPES TLV is present) then (first octet bit 6, value 0x02) for the single administratively agreed link metric type",[RFC7188][RFC7722]
