Type Extension,Name,Description,Reference
0,NBR_ADDR_TYPE,This value is to be interpreted according to the registry [NBR_ADDR_TYPE Address Block TLV Bit Values],[RFC7188][RFC7181]
1-223,,Unassigned,
224-255,,Reserved for Experimental Use,[RFC7631]
