Type Extension,Name,Description,Reference
0,OTHER_NEIGHB,This value is to be interpreted according to the registry [OTHER_NEIGHB TLV Values],[RFC6130][RFC7188]
1-223,,Unassigned,
224-255,,Reserved for Experimental Use,[RFC6130]
