Type,Description,Reference
0,Reserved,[RFC7487]
1,MPLS OAM PM Loss Sub-TLV,[RFC7487]
2,MPLS OAM PM Delay Sub-TLV,[RFC7487]
3-65532,Unassigned,
65533-65534,Reserved for Experimental Use,[RFC7487]
65535,Reserved,[RFC7487]
