Bit,Description,Reference
0,"PCE-allocated binding label/SID (TEMPORARY - registered 2021-03-29, extension registered 2022-02-14, expires 2023-03-29)",[draft-ietf-pce-binding-label-sid-13]
1,ERO-compression,[RFC8623]
2,Fragmentation,[RFC8623]
3,P2MP,[RFC8623]
4,Create,[RFC8281]
5-7,Operational (3 bits),[RFC8231]
8,Administrative,[RFC8231]
9,Remove,[RFC8231]
10,SYNC,[RFC8231]
11,Delegate,[RFC8231]
