Value,Meaning,Reference
0,Reserved,[RFC8664]
1,PCECC-CAPABILITY,[RFC-ietf-pce-pcep-extension-for-pce-controller-14]
2-25,Unassigned,
26,SR-PCE-CAPABILITY,[RFC8664]
27-65535,Unassigned,
