Code Point,Name,Reference
0,Reserved,[RFC5541]
1,MCP,[RFC5541]
2,MLP,[RFC5541]
3,MBP,[RFC5541]
4,MBC,[RFC5541]
5,MLL,[RFC5541]
6,MCC,[RFC5541]
7,SPT,[RFC8306]
8,MCT,[RFC8306]
9,Minimum Packet Loss Path (MPLP),[RFC8233]
10,Maximum Under-Utilized Path (MUP),[RFC8233]
11,Maximum Reserved Under-Utilized Path (MRUP),[RFC8233]
12,Minimize the number of Transit Domains (MTD),[RFC8685]
13,Minimize the number of Border Nodes (MBN),[RFC8685]
14,Minimize the number of Common Transit Domains (MCTD),[RFC8685]
15,Minimize the number of shared Links (MSL),[RFC-ietf-pce-association-diversity-14]
16,Minimize the number of shared SRLGs (MSS),[RFC-ietf-pce-association-diversity-14]
17,Minimize the number of shared Nodes (MSN),[RFC-ietf-pce-association-diversity-14]
18-32767,Unassigned,
32768-65535,Reserved for Private Use,[RFC5541]
