Value,Sub-TLV,Reference
0,Reserved,[RFC5786]
1,Node IPv4 Local Address,[RFC5786]
2,Node IPv6 Local Address,[RFC5786]
3-4,Unassigned,
5,Local TE Router ID sub-TLV,[RFC6827]
6-11,Unassigned,
12,Inter-RA Export Upward sub-TLV,[RFC6827]
13,Inter-RA Export Downward sub-TLV,[RFC6827]
14,Connectivity Matrix,[RFC7580]
15-32767,Unassigned,
32768-32777,Reserved for Experimental Use,[RFC5786]
32778-65535,Reserved,[RFC5786]
