Value,Length,Sub-TLV,Reference
0,,Reserved,[RFC7688]
1,variable,Resource Block Information,[RFC7688]
2,variable,Resource Accessibility,[RFC7688]
3,variable,Resource Wavelength Constraints,[RFC7688]
4,variable,Resource Block Pool State,[RFC7688]
5,variable,Resource Block Shared Access Wavelength Availability,[RFC7688]
6-65535,,Unassigned,
