Value,Sub-TLV,Reference
0,Reserved,[RFC-ietf-ccamp-flexible-grid-ospf-ext-09]
1,Frequency availability bitmap,[RFC-ietf-ccamp-flexible-grid-ospf-ext-09]
2-65535,Unassigned,
