Directive Name,Reference
version,[RFC7937]
UUID,[RFC7937]
claimed-origin,[RFC7937]
established-origin,[RFC7937]
remark,[RFC7937]
record-type,[RFC7937]
fields,[RFC7937]
SHA256-hash,[RFC7937]
