Token,Description,Reference,Change Controller
iso-kam3-dl-2048-sha256,"ISO-11770-4 KAM3, 2048-bit DL",[RFC8121],IESG
iso-kam3-dl-4096-sha512,"ISO-11770-4 KAM3, 4096-bit DL",[RFC8121],IESG
iso-kam3-ec-p256-sha256,"ISO-11770-4 KAM3, 256-bit EC",[RFC8121],IESG
iso-kam3-ec-p521-sha512,"ISO-11770-4 KAM3, 521-bit EC",[RFC8121],IESG
