Code,Description,Reference
0,Reserved,[RFC8175]
1,Multi-Hop Forwarding,[RFC8629]
2,Control-Plane-Based Pause,[RFC8651]
3,Link Identifiers,[RFC-ietf-manet-dlep-lid-extension-06]
4,Latency Range,[RFC-ietf-manet-dlep-latency-extension-05]
5-65519,Unassigned,
65520-65534,Reserved for Private Use,[RFC8175]
65535,Reserved,[RFC8175]
