Code,Error Name,Reference
0-645,Unassigned,
646,ERROR_RESTRICTED_LOGON_HOURS,[RFC5421]
647,ERROR_ACCT_DISABLED,[RFC5421]
648,ERROR_PASSWD_EXPIRED,[RFC5421]
649,ERROR_NO_DIALIN_PERMISSION,[RFC5421]
650-690,Unassigned,
691,ERROR_AUTHENTICATION_FAILURE,[RFC5421]
692-708,Unassigned,
709,ERROR_CHANGING_PASSWORD,[RFC5421]
710-754,Unassigned,
755,ERROR_PAC_I-ID_NO_MATCH,[RFC5421]
756-9999999999,Unassigned,
