Reason Code,Reference
deactivated,[RFC6665]
probation,[RFC6665]
rejected,[RFC6665]
timeout,[RFC6665]
giveup,[RFC6665]
noresource,[RFC6665]
invariant,[RFC6665]
badfilter,[RFC4660]
