Priority-Values (least to greatest),Priority Numerical Value
"""mcpttq.0""",15
"""mcpttq.1""",14
"""mcpttq.2""",13
"""mcpttq.3""",12
"""mcpttq.4""",11
"""mcpttq.5""",10
"""mcpttq.6""",9
"""mcpttq.7""",8
"""mcpttq.8""",7
"""mcpttq.9""",6
"""mcpttq.10""",5
"""mcpttq.11""",4
"""mcpttq.12""",3
"""mcpttq.13""",2
"""mcpttq.14""",1
"""mcpttq.15""",0
