Transport,Reference
UDP,[RFC3261]
TCP,[RFC3261]
TLS,[RFC3261]
SCTP,[RFC3261][RFC4168]
TLS-SCTP,[RFC4168]
WS,[RFC7118]
WSS,[RFC7118]
