Color (sub-)sampling,Reference
sampling=RGB,[RFC4175]
sampling=RGBA,[RFC4175]
sampling=BGR,[RFC4175]
sampling=BGRA,[RFC4175]
sampling=YCbCr-4:4:4,[RFC4175]
sampling=YCbCr-4:2:2,[RFC4175]
sampling=YCbCr-4:2:0,[RFC4175]
sampling=YCbCr-4:1:1,[RFC4175]
sampling=RGB+,[RFC4421]
sampling=RG+B,[RFC4421]
sampling=R+GB,[RFC4421]
sampling=BGR+,[RFC4421]
sampling=BG+R,[RFC4421]
sampling=B+GR,[RFC4421]
