Type,Description,Reference
0,Route Monitoring,[RFC-ietf-grow-bmp-17]
1,Statistics Report,[RFC-ietf-grow-bmp-17]
2,Peer Down Notification,[RFC-ietf-grow-bmp-17]
3,Peer Up Notification,[RFC-ietf-grow-bmp-17]
4,Initiation,[RFC-ietf-grow-bmp-17]
5,Termination,[RFC-ietf-grow-bmp-17]
6,Route Mirroring,[RFC-ietf-grow-bmp-17]
7-250,Unassigned,
251-254,Experimental,[RFC-ietf-grow-bmp-17]
255,Reserved,[RFC-ietf-grow-bmp-17]
