Type,Description,Reference
0,String,[RFC-ietf-grow-bmp-17]
1,Reason,[RFC-ietf-grow-bmp-17]
2-65530,Unassigned,
65531-65534,Experimental,[RFC-ietf-grow-bmp-17]
65535,Reserved,[RFC-ietf-grow-bmp-17]
