Profile,Reference
http://iana.org/beep/TLS,[RFC3080]
http://iana.org/beep/SASL/mechanism,[RFC3080]
http://iana.org/beep/SYSLOG/RAW,[RFC3195]
http://iana.org/beep/SYSLOG/COOKED,[RFC3195]
http://iana.org/beep/APEX,[RFC3340]
http://iana.org/beep/soap,[RFC4227]
http://iana.org/beep/soap/1.1,[RFC4227]
http://iana.org/beep/soap/1.2,[RFC4227]
http://iana.org/beep/xmlrpc,[RFC3529]
http://iana.org/beep/TUNNEL,[RFC3620]
http://iana.org/beep/sacred,[RFC3767]
http://iana.org/beep/iris1,[RFC3983]
http://iana.org/beep/iris1/dreg1,[RFC3982]
http://iana.org/beep/cap/1.0,[RFC4324]
http://iana.org/beep/iris1/ereg1,[RFC4414]
http://iana.org/beep/netconf,[RFC4744]
http://iana.org/beep/iris1/dchk1,[RFC5144]
