Type,Name,Reference
0-64,Unassigned,
65,Echo Reply,[RFC6450]
66-72,Unassigned,
73,Init,[RFC6450]
74-80,Unassigned,
81,Echo Request,[RFC6450]
82,Unassigned,
83,Server Response,[RFC6450]
84-253,Unassigned,
254-255,Experimental,[RFC6450]
