Extension Identifier,Extension Common Name,Extension Definition,Known Incompatible Extensions,Reference,Change Controller
permessage-deflate,WebSocket Per-Message Deflate,[RFC7692],None,[RFC7692],
bbf-usp-protocol,BBF USP Protocol,[https://usp.technology],None,[Broadband_Forum],
