Value,TEK Class,Type,Reference
0,RESERVED,,[RFC3547]
1,TEK_ALGORITHM_KEY,V,[RFC3547]
2,TEK_INTEGRITY_KEY,V,[RFC3547]
3,TEK_SOURCE_AUTH_KEY,V,[RFC3547]
4-127,Unassigned,,
128-255,Private Use,,[RFC6407]
256-32767,Unassigned,,
