Value,KEK Class,Type,Reference
0,RESERVED,,[RFC3547]
1,KEK_ALGORITHM_KEY,V,[RFC3547]
2,SIG_ALGORITHM_KEY,V,[RFC3547]
3-127,Unassigned,,
128-255,Private Use,,[RFC6407]
256-32767,Unassigned,,
