Value,Algorithm Type,Reference
0,Reserved,[RFC3547]
1,SIG_HASH_MD5,[RFC3547]
2,SIG_HASH_SHA1,[RFC3547]
3,SIG_HASH_SHA256,[RFC6407]
4,SIG_HASH_SHA384,[RFC6407]
5,SIG_HASH_SHA512,[RFC6407]
6-127,Unassigned,
128-255,Private Use,[RFC3547]
256-65535,Unassigned,
