Value,Attribute Type,Type,Reference
0,RESERVED,,[RFC6407]
1,ACTIVATION_TIME_DELAY,B,[RFC6407]
2,DEACTIVATION_TIME_DELAY,B,[RFC6407]
3,SENDER_ID_REQUEST,B,[RFC6407]
4-127,Unassigned,,
128-255,Private Use,,[RFC6407]
256-32767,Unassigned,,
