Value,Protocol ID,Reference
0,RESERVED,[RFC3547]
1,GDOI_PROTO_IPSEC_ESP,[RFC3547]
2,GDOI_PROTO_IPSEC_AH,[RFC6407]
3,GDOI_PROTO_IEC_61850,[RFC-weis-gdoi-iec62351-9-10]
4-127,Unassigned,[RFC3547]
128-255,Private Use,[RFC3547]
