Tag,Description,Reference,Notes
art-lojban,Lojban,[John_Cowan][John_Cowan_2],"Deprecated use ISO
639-2 jbo, registered
Sept. 2, 2003."
az-Arab,Azerbaijani in Arabic script,[Mark_Davis][Mark_Davis_2],
az-Cyrl,"Azerbaijani in Cyrillic                 
script",[Mark_Davis][Mark_Davis_2],
az-Latn,Azerbaijani in Latin script,[Mark_Davis][Mark_Davis_2],
be-Latn,Belarusian in Latin script,[Jaska_Zedlik],
bs-Cyrl,Bosnian in Cyrillic script,[Peter_Constable],
bs-Latn,Bosnian in Latin script,[Peter_Constable],
cel-gaulish,Gaulish,[Chris_Lilley],
de-1901,"German, traditional                     
orthography",[Torsten_Bronger],
de-1996,"German, orthography of 1996",[Torsten_Bronger],
de-AT-1901,"German, Austrian variant,               
traditional orthography",[Torsten_Bronger],
de-AT-1996,"German, Austrian variant,               
orthography of 1996",[Torsten_Bronger],
de-CH-1901,"German, Swiss variant,                  
traditional orthography",[Torsten_Bronger],
de-CH-1996,"German, Swiss variant,                  
orthography of 1996",[Torsten_Bronger],
de-DE-1901,"German, German variant,                 
traditional orthography",[Torsten_Bronger],
de-DE-1996,"German, German variant,                 
orthography of 1996",[Torsten_Bronger],
el-Latn,Greek in Latin script,[Luc_Pardon],
en-boont,Boontling,[John_Cowan][John_Cowan_2],
en-GB-oed,"English, Oxford English Dictionary spelling",[Michael_Everson],
en-scouse,"English Liverpudlian dialect            
known as 'Scouse'",[Keith_Szlamp],
es-419,Latin American Spanish,[Karen_Broome],
i-ami,Amis,[Kai_hus_Tai],
i-bnn,Bunun,[Kai_hus_Tai],
i-default,Default Language Context,[RFC2277],
i-enochian,Enochian,[Davina_Zawinski],
i-hak,Hakka,[Kai_hus_Tai],"Deprecated use IETF
zh-hakka, registered
Jan. 10, 2000"
i-klingon,Klingon,[Michael_Everson],"Deprecated use ISO
639-2 tlh, registered
Feb. 24, 2004."
i-lux,Luxembourgish,[Matthias_Wimmer][http://lcweb.loc.gov/standards/iso639-2/codechanges.html],"Deprecated use ISO
639 lb, registered
Sept. 9, 1998"
i-mingo,Mingo,[Sean_Burke],
i-navajo,Navajo,[Sean_Burke][http://lcweb.loc.gov/standards/iso639-2/codechanges.html],"Deprecated use ISO
639 nv, registered
Feb. 18, 2000"
i-pwn,Paiwan,[Kai_hus_Tai],
i-tao,Tao,[Kai_hus_Tai],
i-tay,Tayal,[Kai_hus_Tai],
i-tsu,Tsou,[Kai_hus_Tai],
iu-Cans,Inuktitut in Canadian Aboriginal,[Peter_Constable],
