Identifier,Reference
VPN-A,[RFC4308]
VPN-B,[RFC4308]
Suite-B-GCM-128,[RFC6379][RFC8423]
Suite-B-GCM-256,[RFC6379][RFC8423]
Suite-B-GMAC-128,[RFC6379][RFC8423]
Suite-B-GMAC-256,[RFC6379][RFC8423]
CNSA-GCM-256-ECDH-384,[RFC-corcoran-cnsa-ipsec-profile-06]
CNSA-GCM-256-DH-3072,[RFC-corcoran-cnsa-ipsec-profile-06]
CNSA-GCM-256-DH-4096,[RFC-corcoran-cnsa-ipsec-profile-06]
