Type Value,Name,Reference
0,Invalid Value,[RFC5575]
1,Destination Prefix,[RFC5575]
2,Source Prefix,[RFC5575]
3,IP Protocol,[RFC5575]
4,Port,[RFC5575]
5,Destination port,[RFC5575]
6,Source port,[RFC5575]
7,ICMP type,[RFC5575]
8,ICMP code,[RFC5575]
9,TCP flags,[RFC5575]
10,Packet length,[RFC5575]
11,DSCP,[RFC5575]
12,Fragment,[RFC5575]
13-255,Unassigned,
