Value,AEAD Algorithm,Reference
0x0000,Reserved,
0x0001,AEAD_AES_128_GCM,[RFC8548]
0x0002,AEAD_AES_256_GCM,[RFC8548]
0x0003-0x000f,Unassigned,
0x0010,AEAD_CHACHA20_POLY1305,[RFC8548]
0x0011-0xffff,Unassigned,
