Bit,Name,Reference
7,"Reserved, previously used by Historic [RFC3540] as NS (Nonce Sum)",[RFC-ietf-tsvwg-ecn-experimentation-08]
8,CWR (Congestion Window Reduced),[RFC3168]
9,ECE (ECN-Echo),[RFC3168]
