Event Number(one octet),Description,Reference
0,SCSI Async Event,[RFC7143]
1,Logout Request,[RFC7143]
2,Connection drop notification,[RFC7143]
3,Session drop notification,[RFC7143]
4,Negotiation Request,[RFC7143]
5,Task termination,[RFC7143]
6-247,Unassigned,
248-254,Vendor-unique,[RFC7143]
255,Vendor-unique,[RFC7143]
