Bit,Description,Reference
8,Recorded/Aggregated,[RFC6551]
7,Optional Constraint,[RFC6551]
6,Constraint/Metric,[RFC6551]
5,P (Partial),[RFC6551]
0-4,Reserved,[RFC6551]
